account_name,handle,text,posted_at,replies,reposts,likes,url
かりがね,@imas_neco,#ヤマフレーム 話題のやつ、適当にやっただけでめっちゃいい感じになるんだけどなぜ無料？？ どこからお金をお支払いできますか？？ pic.x.com/bVlksxc7J0,7月28日(火) 19:59,,1,2,https://x.com/imas_neco/status/2082058269519233126
Photo_Takumi.camera ( みやっさん ）,@TakumiCamera_P,これはすごい！自分の山写真をポスター風に。 自動でキャプション付けてくれるサイト #ヤマフレーム yamaframe.com pic.x.com/0opVmQhRKV,7月28日(火) 8:14,,,20,https://x.com/TakumiCamera_P/status/2081881011617771849
Ryo Takano,@r_outdoor_photo,中禅寺湖より #ヤマフレーム pic.x.com/bhcjC2V9L4 x.com/r_outdoor_phot…,7月27日(月) 22:30,,1,3,https://x.com/fura_b/status/2081733889320702004
Da–masu,@5050mountain,この使い方気づいてもらえて非常に嬉しいです！ YAMAPのトップ画像って統一感なくなりがちなので、真ん中に山名入れるだけで他の人とかなり差別化できると思います。 自分も試しに入れてみたのですが気に入ってます。 #ヤマフレーム pic.x.com/sCIBuPf6MC x.com/5050mountain/s…,7月27日(月) 21:31,,,,https://x.com/r_outdoor_photo/status/2081719067451474047
Ryo Takano,@r_outdoor_photo,山写真加工アプリ #ヤマフレーム を大きく更新しました！ yamaframe.com から確認してみてください！ ・山の名前の表示を写真ごとに選ぶ 山名の一覧に目のマークが付きました。タップすることで山名を写真から消したり表示したりすることができます。,7月27日(月) 18:46,,7,14,https://x.com/r_outdoor_photo/status/2081677503417217159
AI,@silvercat1912,まさにこれだと思う。 #ヤマフレーム は自分で撮った山写真を「かっこいい」って思えるような編集を簡単にできるアプリなんですよ。 本来写真は自己満の世界だと思います。 でもせっかくだから、その自己満をちょっとでも共有したいじゃないですか。 x.com/silvercat1912/…,7月27日(月) 18:13,,,,https://x.com/r_outdoor_photo/status/2081669412155744684
Ryo Takano,@r_outdoor_photo,こちらのツールで編集しました。 #ヤマフレーム yamaframe.com,7月27日(月) 15:01,,,,https://x.com/r_outdoor_photo/status/2081620954107752781
baru@山垢,@baru_tozan,#ヤマフレーム これの３つ目の山頂は甲斐駒ヶ岳だったけど、山名等を消せば無くなるのだが、線は消えない 消し方：線のTOを最下部に伸ばして、山頂名をドラックして最下部へ移動 その後に山名等を消せば線も見えなくなる👍 pic.x.com/pU1JnG2j8g,7月27日(月) 14:25,1,2,9,https://x.com/baru_tozan/status/2081611992721412274
水晶ゴロー,@DLGsYVH0vMvXiFm,使ってみた。 #ヤマフレーム pic.x.com/x1NXFg2OCM このメディアは、センシティブな内容を含んでいる可能性があるため表示されません。表示する,7月27日(月) 12:53,,,,https://x.com/DLGsYVH0vMvXiFm/status/2081588885243711716
小野一俊,@kazutoshi_ono_,なんと小野さんの猫写真に #ヤマフレーム を使っていただきました！ この写真がTLに流れてきた時本当に驚きました笑 自由入力できることで、まさかの動物写真の世界にまで発展。 小野さんありがとうございます！ x.com/kazutoshi_ono_…,7月27日(月) 12:37,,,,https://x.com/r_outdoor_photo/status/2081584719024766998
Ryo Takano,@r_outdoor_photo,山写真アプリ #ヤマフレーム をリリースして5日ほど経ちますが、改めてご利用してくださっている皆様ありがとうございます。 休日はアプリを使った素敵な山写真がTLにたくさん流れてきて、本当に楽しかったです。,7月27日(月) 12:08,,,,https://x.com/r_outdoor_photo/status/2081577394930954604
Ryo Takano,@r_outdoor_photo,界隈だけでなく一般層にも広めるフックを作るのが、アプリの認知を高める上で大事だと思っています。 #ヤマフレーム は登山界隈に向けたアプリですが、風景写真界隈、さらには一般の方まで幅広く活用できるのが特徴です。 機能がシンプルなのでとっつき易いというのも手伝って広まった印象。 x.com/r_outdoor_phot…,7月27日(月) 9:01,,2,6,https://x.com/r_outdoor_photo/status/2081530476150534580
Ryo Takano,@r_outdoor_photo,界隈だけでなく一般層にも広めるフックを作るのが、アプリの認知を高める上で大事だと思っています。 #ヤマフレーム は登山界隈に向けたアプリですが、風景写真界隈、さらには一般の方まで幅広く活用できるのが特徴です。 機能がシンプルなのでとっつき易いというのも手伝って広まった印象。 x.com/r_outdoor_phot…,7月27日(月) 9:01,,,,https://x.com/r_outdoor_photo/status/2081530372232462409
こまさぶろう with ゴールデンレトリバー and ninja1000,@komasaburo0287,#ヤマフレーム 千枚小屋からちょっと登ったところ、赤石岳がよく見えるポイントからの景色。 このときは、朝焼けの赤石岳がめちゃくちゃキレイだったわ。 今年も椹島に行きたいもんだ。 pic.x.com/zud0ATioNK,7月26日(日) 21:23,,1,4,https://x.com/komasaburo0287/status/2081354682006651343
こまさぶろう with ゴールデンレトリバー and ninja1000,@komasaburo0287,引き続き、ヤマフレームで遊ぶ。 来週、北アルプスに行きたいけど、天気わるそーで困ったもんだ。 行けたら行こうの精神で、明日は明日でがんばろう。 #ヤマフレーム pic.x.com/ljv1gqcfj2,7月26日(日) 20:01,,1,3,https://x.com/komasaburo0287/status/2081334180869468338
Ryo Takano,@r_outdoor_photo,蝶ヶ岳で迎える朝 #これを見た人は好きな山の朝写真をあげる #ヤマフレーム pic.x.com/dYGEOhz190,7月26日(日) 17:39,,,37,https://x.com/r_outdoor_photo/status/2081298447551086704
